ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference
fasu1242-aes,fasu1242,aes,3,aes-shifting,"Fasu (10734-faa) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
wash1253-aes,wash1253,aes,4,aes-moribund,"Washo (1149-was) = Severely Endangered (20 percent certain, based on the evidence available) [Golla 2007](cldf:golla:07)",569683,
taua1242-aes,taua1242,aes,1,aes-not_endangered,Tauade (ttd-ttd) = 6a (Vigorous).,701778,
puel1244-aes,puel1244,aes,6,aes-extinct,Gününa-Küne (2899-pue) = Dormant [Crevels 2012](cldf:crevels:12:3),569683,
tuxa1239-aes,tuxa1239,aes,6,aes-extinct,Tuxá (tud-tud) = 9 (Dormant).,701778,
beto1236-aes,beto1236,aes,6,aes-extinct,Betoi (NOCODE_Betoi-NOCODE_Betoi) = 10 (Extinct).,,
else1239-aes,else1239,aes,3,aes-shifting,"Elseng (10679-mrf) = Endangered (20 percent certain, based on the evidence available) [Laycock 1973](cldf:laycock:73)",569683,
ando1256-aes,ando1256,aes,5,aes-nearly_extinct,Andoque (676-ano) = critically endangered,569683,
pyuu1245-aes,pyuu1245,aes,3,aes-shifting,"Pyu (4950-pby) = Endangered (60 percent certain, based on the evidence available) (According to a 1992 report by Arjen Lock ... 'The children are claimed to lack fluency in both Abau and [Pyu]. They prefer to communicate in Tok Pisin.') [Hammarström 2017](cldf:hammarstroem:17)",569683,
moch1259-aes,moch1259,aes,6,aes-extinct,Mochica (631-) = Extinct,550905,
atak1252-aes,atak1252,aes,6,aes-extinct,Atakapa (aqp-aqp) = 10 (Extinct).,,
kwaz1243-aes,kwaz1243,aes,4,aes-moribund,"Kwaza (3033-xwa) = Severely Endangered (20 percent certain, based on the evidence available) [van der Voort 2013](cldf:vandervoort:13:2)",569683,
cams1241-aes,cams1241,aes,3,aes-shifting,"Camsá (1516-kbh) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
dibi1240-aes,dibi1240,aes,3,aes-shifting,"Dibiyaso (10735-dby) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
sech1236-aes,sech1236,aes,6,aes-extinct,Sechuran (NOCODE_Sechuran-NOCODE_Sechuran) = 10 (Extinct).,,
kuna1268-aes,kuna1268,aes,1,aes-not_endangered,Kunama (kun-kun) = 4 (Educational).,701778,
