Former_Field,Parameter_ID,Note
aliases,codeAlias,"CORRECTED. I had merged this into alternateName, conflating CODES with NAMES: aliases held [''sq'',''sqi''] while alternateNames held [''Northern Tosk Albanian'']. They are different things and the mistake broke every consumer that resolves a two-letter code. Now projected as codeAlias, derived from SIL''s ISO 639-1 column; the ambiguous macrolanguage routings live in shared/catalogue/code-routing.json because they are editorial."
alternateNames,alternateName,"Renamed to the singular: one row per name, which is what the ValueTable holds."
colexificationProfile,colexificationConcepts,"Split into atomic parameters. notableColexifications deliberately removed — 15% were tautologies like [SEE,SEE] and there is no defensible selection rule for 'notable'."
corpusAvailability,lexicalResource,"Folded in: ASJP wordlist and form counts are the same concept as any other published wordlist."
dataSources,,"Not a parameter. Superseded by computed _fieldSources — a hand-kept source list drifts from the sources actually used."
databaseCoverage,coveredBy,"Computed FROM the store rather than hand-maintained alongside it."
dir,textDirection,"Renamed to say what it is. Absent rather than defaulted for the languages CLDR does not cover."
documentationDepth,medLevel,"Renamed to Glottolog's own term. Points at medLevel (grammar, grammar sketch, wordlist) because mostExtensiveDescription -- the TITLE -- was itself retired: resolving a MED id to a title needs Glottolog's 43 bibliography files, whose numeric key space has 80,569 duplicates, so a lookup would often attach the wrong book. medSourceId carries the followable citation."
firstDocumented,firstDocumented,"Name unchanged; now nested under documentation on the card. Listed so the register accounts for every field of the old corpus."
lastDocumented,lastDocumented,"Name unchanged; now nested under documentation on the card. Listed so the register accounts for every field of the old corpus."
isoType,isoLanguageType,"Renamed to say it is a REGISTRY classification, not a property of the language."
members,macrolanguageMember,"Same concept as varieties. Merged rather than kept as a second field."
varieties,macrolanguageMember,"Read from the ISO macrolanguage table — the inverse of macrolanguage."
omt1600,methodSupport,"Omnilingual MT is one method among the eleven, not a field of its own. Variant names it."
orthographies,script,"Script plus name plus primary flag, folded into scripts."
pipelineReadiness,componentsPresent,"The same idea without the grade: how much of what could be known we have."
regions,country,"The same Glottolog country data under two names. Keeping both would be two fields meaning one thing."
script,script,"Name unchanged. Listed so the register accounts for every field, and to record that orthographies was folded into it rather than kept alongside."
scriptUnicodeName,scriptName,"Derived from the ISO 15924 table, with lineage to it."
vitality,endangerment,"One attributed field over every assessing body, rather than a field per body."
vitalityStatuses,endangerment,"This WAS the multi-source list. It is now the standard shape: several attributed values on one parameter."
code,,"Not a parameter. The card's primary key and the LanguageTable ID."
iso639_3,,"Not a parameter. A LanguageTable identity column, populated by the spine from the ISO registry."
genusGlottocode,,"RETIRED. WALS genera have no glottocodes -- genus is a WALS concept and glottocodes are Glottolog identifiers, so any value here would have been manufactured by pairing two taxonomies that do not share a key."
isoRetired,,"RETIRED. A retired ISO code is not a spine entry, so no card could ever carry this flag -- it was dead by construction. The relation is recorded on the SUCCESSOR instead, as supersededCode."
isoRetiredTo,supersededCode,"Inverted. The redirect is recorded on the language that ABSORBED the retired code, because that is the card a lookup can actually reach."
glottologLevel,,"RETIRED. One distinct value across 8,309 cards -- always 'language', because only language-level languoids become spine entries. A field with one value carries no information; this is the same defect as modality (two values across 7,991 cards)."
glottologBucket,,"RETIRED. Neither 'bucket' nor 'category' appears anywhere in Glottolog's pinned data -- not in languoid.csv, not in any glottolog CSV, not in glottolog-cldf. Like genusGlottocode, it named a concept the cited source does not have, so any value would have been invented."
glottologBucketName,,"RETIRED with glottologBucket -- the human-readable name of a grouping Glottolog does not publish."
glottologCategory,,"RETIRED. Glottolog uses a 'category' on its website, but it is not in the pinned release we cite, and a field can only assert what its source actually ships."
asjpVarieties,lexicalResource,"RETIRED as a duplicate. lexicalResources.datasets already carries doculects per dataset -- ASJP shows 7 for Hausa. A second field naming the same number is the bazillion-fields defect, applied to my own registry."
numeralFormsRecorded,lexicalResource,"RETIRED as a duplicate. lexicalResources.datasets already carries forms per dataset -- channumerals shows 43 for Hausa."
swadeshConceptsCovered,lexicalResource,"RETIRED as a duplicate AND a mislabel. lexicalResources.datasets already carries the concept count, and ASJP uses its OWN 100-item list (*I, *you, *we, this, that, who ...) -- not a Swadesh list. Naming it Swadesh would attribute a wordlist tradition ASJP does not claim."
nativeName,endonym,"MERGED. nativeName (Wikidata P1705) and endonym (LinguaMeta) were the same concept as two fields with two sources -- exactly the defect the one-concept-one-field rule exists to prevent. Now one attributed field carrying both, so a reader sees every native name with its source rather than whichever field happened to be populated."
mostExtensiveDescription,medSourceId,"RETIRED on measurement, not preference. Resolving a MED id to a TITLE means looking it up across Glottolog's 43 bibliography files, and the numeric key space is NOT unique across them: 80,569 duplicate keys. A lookup would frequently attach the WRONG title to a language. Only 1,214 of 7,276 med ids (16.7%) resolve at all. medLevel already carries the useful fact (grammar, grammar sketch, wordlist) and medSourceId is followable by anyone who wants the title from Glottolog directly -- a citation you can follow beats a title that might be someone else's book."
