Subject,ID,Name,Description,Datatype,Upstream_Parameter_ID,Card_Field,Projection_Rule,Absence_Policy,Disposition,Authority,Sources
language,name,Language name,The name a registry gives this language. Registries disagree; every name is kept and attributed rather than one winning.,string,,name,attributed,omit,DONE,sil-iso639-3,sil-iso639-3|glottolog|linguameta
language,alternateName,Alternate name,An additional name a registry records for this language.,string,,alternateNames,list,omit,DONE,,sil-iso639-3
language,iso639_1,ISO 639-1 code,"Two-letter code, where one exists.",string,,iso639_1,direct,omit,DONE,,sil-iso639-3
language,isoScope,ISO scope,"Individual, Macrolanguage or Special, as ISO 639-3 classifies it.",string,,isoScope,direct,omit,DONE,,sil-iso639-3
language,isoLanguageType,ISO language type,"Living, Extinct, Ancient, Historical or Constructed, per ISO 639-3.",string,,isoLanguageType,direct,omit,DONE,,sil-iso639-3
language,macrolanguage,Macrolanguage,The macrolanguage this individual language belongs to.,string,,macrolanguage,direct,omit,DONE,,sil-iso639-3
language,macrolanguageMember,Macrolanguage member,An individual language belonging to this macrolanguage.,string,,macrolanguageMembers,list,omit,DONE,,sil-iso639-3
language,glottocode,Glottocode,Glottolog's identifier for this languoid.,string,,glottocode,direct,omit,DONE,glottolog,glottolog
language,modality,Modality,"Signed or spoken, derived by walking Glottolog's parent edges to the root and testing it against the Sign Language pseudo-family (sign1238). Glottolog never states a modality; the walk and the reading are ours. Replaces a heuristic that matched ISO Ref_Name against /sign language/i plus a hand-written allowlist of four endonymous codes, and which missed 64 sign languages.",string,,modality,direct,omit,DONE,,glottolog
language,glottologBucket,Glottolog bucket,"The top-level Glottolog bucket a language sits in when that bucket classifies by KIND rather than descent -- Unclassifiable, Unattested, Artificial Language, Speech Register, Pidgin, Mixed Language. Kept as its own field because putting it in the family slot would assert a genealogical descent Glottolog never claimed. A card with this field has no family, and that is the honest result.",string,,classification.glottologBucket,direct,omit,DONE,,glottolog
language,isIsolate,Is isolate,Whether Glottolog classifies this as a language isolate.,boolean,,isIsolate,direct,omit,DONE,,glottolog
language,family,Family,"The top-level family a classification authority places this language in. Glottolog and WALS are separate taxonomies that do not always agree — WALS puts Plains Cree in Algic with genus Algonquian, Glottolog in algi1248 — so both are kept and attributed. The Glottolog value must match the cited glottocode (lint R5).",string,,classification.family,attributed,omit,DONE,,glottolog|wals
language,familyGlottocode,Family glottocode,Glottocode of the top-level family.,string,,classification.familyGlottocode,direct,omit,DONE,,glottolog
language,genus,Genus,"WALS's intermediate classification node. This is a WALS concept, NOT a Glottolog one — Glottolog publishes an arbitrary-depth tree with no genus level, so sourcing it from Glottolog was a category error. The Glottolog hierarchy is carried by `ancestry` instead.",string,,classification.genus,direct,omit,DONE,,wals
language,ancestry,Ancestry,"An ancestor glottocode on the path from family to this languoid, in order.",string,,classification.ancestry,list,omit,DONE,,glottolog
language,dialectCount,Dialect count,"Direct child dialects, as Glottolog's own child_dialect_count column states it. This is GLOTTOLOG'S assertion, not our arithmetic — an earlier registry claimed it as champollion-derived, which took credit for someone else's count. Direct children only, not the whole subtree.",integer,,dialectCount,direct,omit,DONE,,glottolog
language,latitude,Latitude,"Representative point, as Glottolog gives it. Not a territory.",float,,coordinates.lat,direct,omit,DONE,glottolog-cldf,glottolog-cldf
language,longitude,Longitude,"Representative point, as Glottolog gives it. Not a territory.",float,,coordinates.lng,direct,omit,DONE,glottolog-cldf,glottolog-cldf
language,macroarea,Macroarea,Glottolog's macroarea.,string,,macroarea,direct,omit,DONE,glottolog-cldf,glottolog-cldf
language,country,Country,A country Glottolog associates with this language.,string,,countries,list,omit,DONE,,glottolog
language,speakerCount,Speaker count,"What a body states about speaker numbers, VERBATIM. Not an integer: ELCat publishes BANDS — 1-9, 10-99, 100-999, 1000-9999, 10000-99999 — and the word Awakening, and only one of its seven forms is a plain number. Coercing a band to a midpoint would manufacture a precision no source claims. Estimates disagree and are date-dependent; all are kept and attributed.",string,,speakerEstimates,attributed,omit,DONE,,elcat|linguameta
language,endangerment,Endangerment,"An assessing body's vitality judgement, in that body's own words. The bodies use different scales — ELCat has nine levels including awakening and dormant, Glottolog AES has six — so each scale is declared in codes.csv against its own Source_Scale and a vocabulary difference is never rendered as a disagreement.",string,,endangerment,attributed,omit,DONE,,elcat|glottolog-cldf|linguameta
language,consonantCount,Consonant count,"OURS: a COUNT over the segments of a cited PHOIBLE inventory, where SegmentClass is consonant. PHOIBLE publishes one row per segment and asserts no count, so this is a Champollion derivation and must not wear PHOIBLE's name. Marginal segments ARE included, as PHOIBLE's own published counts do.",integer,,phonologicalInventory.consonants,derived,omit,DONE,,champollion-derived
language,vowelCount,Vowel count,OURS: a COUNT over the segments of a cited PHOIBLE inventory where SegmentClass is vowel. Marginal segments included.,integer,,phonologicalInventory.vowels,derived,omit,DONE,,champollion-derived
language,toneCount,Tone count,"OURS: a COUNT over the segments of a cited PHOIBLE inventory where SegmentClass is tone. PHOIBLE is the sole tone authority (lint R1) — Grambank has no tone feature at all, and WALS chapter 13A is a different question.",integer,,phonologicalInventory.tones,derived,omit,DONE,,champollion-derived
language,hasTone,Has tone,Whether the PHOIBLE inventory records any tone.,boolean,,phonologicalInventory.hasTone,derived,omit,DONE,,champollion-derived
language,totalPhonemes,Total phonemes,OURS: consonants + vowels + tones from the cited PHOIBLE inventory.,integer,,phonologicalInventory.totalPhonemes,derived,omit,DONE,,champollion-derived
language,wordOrder,Word order,"Dominant order of subject, object and verb.",string,81A,typologicalProfile.wordOrder,direct,omit,DONE,,wals
language,subjectVerbOrder,Subject-verb order,Order of subject and verb.,string,82A,typologicalProfile.subjectVerbOrder,direct,omit,DONE,,wals
language,fusion,Fusion,Degree of fusion of selected inflectional formatives.,string,20A,typologicalProfile.fusion,direct,omit,DONE,,wals
language,verbSynthesis,Verb synthesis,Number of categories per word in the verb.,string,22A,typologicalProfile.verbSynthesis,direct,omit,DONE,,wals
language,affixPreference,Affix preference,Prefixing versus suffixing in inflectional morphology.,string,26A,typologicalProfile.affixPreference,direct,omit,DONE,,wals
language,reduplication,Reduplication,Presence and productivity of reduplication.,string,27A,typologicalProfile.reduplication,direct,omit,DONE,,wals
language,genderCount,Gender count,Number of grammatical genders.,string,30A,typologicalProfile.genderCount,direct,omit,DONE,,wals
language,caseCount,Case count,Number of morphological cases.,string,49A,typologicalProfile.caseCount,direct,omit,DONE,,wals
language,verbalAlignment,Verbal alignment,Alignment of verbal person marking.,string,100A,typologicalProfile.verbalAlignment,direct,omit,DONE,,wals
language,negationOrder,Negation order,Order of negative morpheme and verb.,string,143A,typologicalProfile.negationOrder,direct,omit,DONE,,wals
language,hasNumeralClassifiers,Has numeral classifiers,Whether the language uses numeral classifiers.,boolean,GB057,typologicalProfile.hasNumeralClassifiers,direct,omit,DONE,,grambank
language,hasGenderInPronouns,Has gender in pronouns,Whether independent pronouns mark gender.,boolean,GB030,typologicalProfile.hasGenderInPronouns,direct,omit,DONE,,grambank
language,hasCoreCase,Has core case,Whether core arguments carry case marking.,boolean,GB070,typologicalProfile.hasCoreCase,direct,omit,DONE,,grambank
language,hasObliqueCase,Has oblique case,Whether oblique arguments carry case marking.,boolean,GB071,typologicalProfile.hasObliqueCase,direct,omit,DONE,,grambank
